Jan 28,1,1,1
Jan 29,4,3,2
Jan 30,4,0,3
Jan 31,6,2,4
Feb 1,7,1,5
Feb 2,10,3,6
Feb 3,10,0,7
Feb 4,12,2,8
Feb 5,12,0,9
Feb 6,13,1,10
Feb 7,13,0,11
Feb 8,14,1,12
Feb 9,14,0,13
Feb 10,14,0,14
Feb 11,14,0,15
Feb 12,16,2,16
Feb 13,16,0,17
Feb 14,16,0,18
Feb 15,16,0,19
Feb 16,16,0,20
Feb 17,16,0,21
Feb 18,16,0,22
Feb 19,16,0,23
Feb 20,16,0,24
Feb 21,16,0,25
Feb 22,16,0,26
Feb 23,16,0,27
Feb 24,16,0,28
Feb 25,16,0,29
Feb 26,18,2,30
Feb 27,21,3,31
Feb 28,46,25,32
Feb 29,57,11,33
Mar 1,108,51,34
Mar 2,143,35,35
Mar 3,181,38,36
Mar 4,240,59,37
Mar 5,523,283,38
Mar 6,648,125,39
Mar 7,778,130,40
Mar 8,1018,240,41
Mar 9,1202,184,42
Mar 10,1543,341,43
Mar 11,1944,401,44
Mar 12,2723,779,45
Mar 13,3653,930,46
Mar 14,4577,924,47
Mar 15,5791,1214,48
Mar 16,7250,1459,49
Mar 17,9345,2095,50
Mar 18,12305,2960,51
Mar 19,15298,2993,52
Mar 20,19826,4528,53
Mar 21,22342,2516,54
Mar 22,24851,2509,55
Mar 23,29034,4183,56
Mar 24,32969,3935,57
Mar 25,37301,4332,58
Mar 26,43916,6615,59
Mar 27,50849,6933,60
Mar 28,57674,6825,61
Mar 29,62414,4740,62
Mar 30,66864,4450,63
Mar 31,71787,4923,64
Apr 1,77960,6173,65
Apr 2,84773,6813,66
Apr 3,91138,6365,67
Apr 4,96071,4933,68
Apr 5,100102,4031,69
Apr 6,103354,3252,70
Apr 7,107642,4288,71
Apr 8,113275,5633,72
Apr 9,118214,4939,73
Apr 10,122150,3936,74
Apr 11,125431,3281,75
